paper_id	affiliations
zhang14_interspeech	['mit computer science and artificial intelligence laboratory,', 'cambridge, massachusetts 02139, usa']
do14_interspeech	['school of computer engineering, nanyang technological university, singapore', 'institute for infocomm research, a*star, singapore']
vu14_interspeech	['karlsruhe institute of technology, germany']
knill14_interspeech	['department of engineering, university of cambridge', 'trumpington street, cambridge cb2 1pz, uk.']
bell14_interspeech	['centre for speech technology research, university of edinburgh, edinburgh eh8 9ab, uk']
razavi14_interspeech	['idiap research institute, ch-1920 martigny, switzerland', 'ecole polytechnique federale de lausanne (epfl), ch-1015 lausanne, switzerland']
tanaka14_interspeech	['graduate school of information science, nara institute of science and technology, japan']
niekerk14_interspeech	['centre for text technology, north-west university, potchefstroom, south africa', 'multilingual speech technologies, north-west university, vanderbijlpark, south africa']
vadapalli14_interspeech	['speech and vision lab, iiit hyderabad']
che14_interspeech	['institute of automation, chinese academy of sciences, beijing, china']
dall14_interspeech	['the centre for speech technology research, university of edinburgh, uk', 'cambridge university engineering department, university of cambridge, uk']
dall14b_interspeech	['the centre for speech technology research, university of edinburgh, uk', 'ppls, university of edinburgh, uk']
khoury14_interspeech	['†idiap research institute, switzerland', '∗school of computing, university of eastern finland, finland', '‡school of computer engineering, nanyang technological university, singapore']
leary14_interspeech	['raytheon bbn technologies']
fredouille14_interspeech	['university of avignon, ceri/lia, france', 'orange labs, lannion, france']
laurent14_interspeech	['limsi-cnrs, orsay, france', 'lium, universite du maine, le mans, france', 'irisa-insa, rennes, france']
raimond14_interspeech	['bbc r&d']
kelly14_interspeech	['department of electronic & electrical engineering, trinity college dublin, ireland', 'speech and image processing unit, school of computing, university of eastern finland', 'centre for language and speech technology, radboud university nijmegen, the netherlands']
versteegh14_interspeech	['lscp, ehess, dec-iec-ens-psl*, cnrs, france', 'speech, language, and hearing sciences, purdue university, usa', 'lscp, cnrs, dec-iec-ens-psl*, ehess, france']
airaksinen14_interspeech	['department of signal processing and acoustics, aalto university, finland']
rose14_interspeech	['division of humanities, hong kong university of science and technology', 'college of asia and the pacific, australian national university']
hamzah14_interspeech	['division of linguistics & multilingual studies', 'nanyang technological university, singapore']
reichel14_interspeech	['institute of phonetics and speech processing, university of munich', 'institute for linguistics, hungarian academy of sciences, budapest, hungary']
christodoulides14_interspeech	['centre valibel, institute for language & communication, universite de louvain, belgium', 'umr 7110-llf (laboratoire de linguistique formelle), universite paris-diderot']
chen14_interspeech	['department of electrical engineering, university of california, los angeles, usa', 'department of head and neck surgery, school of medicine, university of california, los angeles, usa']
delaisroussarie14_interspeech	['umr 7110-llf (laboratoire de linguistique formelle), universite paris-diderot', 'irisa, university of rennes 1, lannion, france', 'voxygen, lannion, france']
sung14_interspeech	['university of arizona, tucson, az, u.s.a.']
archangeli14_interspeech	['university of hong kong', 'university of arizona']
amino14_interspeech	['national research institute of police science, japan', 'konan university, japan']
brown14_interspeech	['university of auckland']
jackschina14_interspeech	['forschungsstelle ¨osterreichisches deutsch, university of graz, austria', 'signal processing and speech communication laboratory, graz university of technology, austria']
hu14_interspeech	['institute of linguistics, chinese academy of social sciences', 'department of linguistics, graduate school, chinese academy of social sciences']
dellwo14_interspeech	['department of comparative linguistics, university of zurich', 'department of linguistics and modern languages, the chinese university of hong kong']
braun14_interspeech	['department of phonetics, university of trier, germany']
kasisopa14_interspeech	['marcs institute, university of western sydney, australia']
pappu14_interspeech	['language technologies institute', 'carnegie mellon university']
misu14_interspeech	['honda research institute usa', 'mountain view, ca']
higashinaka14_interspeech	['ntt media intelligence laboratories', 'ntt communication science laboratories']
bechet14_interspeech	['aix marseille universite, cnrs-lif']
gasic14_interspeech	['cambridge university engineering department, trumpington street, cambridge, uk']
robichaud14_interspeech	['microsoft corporation, redmond wa 98052, usa']
ramanarayanan14_interspeech	['department of electrical engineering, university of southern california, los angeles, ca', 'department of linguistics, university of southern california, los angeles, ca']
yeh14_interspeech	['department of linguistics and languages, michigan state university, usa', 'department of asian languages and civilizations, university of colorado boulder, usa', 'center of learning technology for chinese, national taiwan normal university, taiwan']
windmann14_interspeech	['faculty for linguistics and literary studies, bielefeld university, germany', 'institute of behavioral sciences, university of helsinki, finland']
kim14_interspeech	['signal analysis and interpretation laboratory, university of southern california, los angeles, usa']
sudhakar14_interspeech	['icteam/elen, universite catholique de louvain, belgium.', 'department of electrical engineering, indian institute of science (iisc), bangalore, india.']
wang14b_interspeech	['department of bioengineering', 'callier center for communication disorders', 'university of texas at dallas, dallas, texas, usa']
liu14b_interspeech	['leiden university center for linguistics, leiden university, the netherlands', 'center for studies of chinese as a second language, beijing language and culture', 'university, beijing, china', 'school of computer science, beijing language and culture university, beijing, china']
abuoudeh14_interspeech	['laboratoire de linguistique de nantes −lling / ea3827', 'universite de nantes, chemin de la censive du tertre', 'nantes cedex −france']
roberts14_interspeech	['faculty of linguistics, philology and phonetics, university of oxford, united kingdom', 'institut fur phonetik, goethe-universitat frankfurt, germany']
bush14_interspeech	['center for spoken language understanding, oregon health & science university, portland, or']
daoudi14_interspeech	['inria bordeaux-sud ouest. geostat team', 'av. de la vieille tour. 33405 talence. france.', 'university of bordeaux 1', 'cours de la liberation. 33405 talence. france.']
bukmaier14_interspeech	['institute of phonetics and speech processing, university of munich, germany']
gupta14_interspeech	['signal analysis and interpretation lab (sail), department of electrical engineering', 'university of southern california, los angeles, ca', 'department of psychiatry and behavioral sciences, university of washington, seattle, wa, usa']
xiao14_interspeech	['sail, dept. electrical engineering, university of southern california, u.s.a.', 'dept. educational psychology, university of utah, u.s.a.', 'dept. psychiatry & behavioral sciences, university of washington, u.s.a.', 'http://sail.usc.edu']
bone14_interspeech	['signal analysis and interpretation laboratory (sail), usc, los angeles, ca, usa', 'electrical engineering department, national tsing hua university, taiwan.', 'http://sail.usc.edu']
han14_interspeech	['department of computer science and engineering,', 'the ohio state university, columbus', ', oh, usa', 'microsoft research, one microsoft way,', 'redmond', ', wa, usa']
truong14_interspeech	['university of twente, human media interaction group, enschede, the netherlands', 'university of twente, dept. of psychology, health and technology, enschede, the netherlands', 'erasmus university rotterdam, erasmus studio, rotterdam, the netherlands']
he14_interspeech	['phonetics laboratory, university of zurich, switzerland']
mariooryad14_interspeech	['multimodal signal processing (msp) laboratory, department of electrical engineering', 'the university of texas at dallas, richardson tx 75080, usa']
safavi14_interspeech	['school of electronic, electrical & computer engineering, university of birmingham, uk']
morchid14_interspeech	['†lia, university of avignon, france', '‡mcgill university, school of computer science, montreal, quebec, canada']
marin14_interspeech	['university of washington, seattle, wa 98195', 'microsoft corporation, redmond, wa 98052']
xu14_interspeech	['microsoft corporation, redmond wa 98052, usa']
shiang14_interspeech	['graduate institute of electrical engineering, national taiwan university', 'graduate institute of communication engineering, national taiwan university']
sarikaya14_interspeech	['microsoft corporation, redmond, wa 98052']
shi14_interspeech	['ipe, microsoft']
zhang14b_interspeech	['speech and hearing research center', 'school of electronics engineering and computer science', 'peking university, beijing, china']
tur14_interspeech	['microsoft, usa']
georgiladakis14_interspeech	['school of electronic & computer eng., technical university of crete, chania, greece', 'cognitive interaction technology - center of excellence (citec), bielefeld university, germany', 'school of electrical & computer eng., national technical univ. of athens, zografou, greece']
katerenchuk14_interspeech	['cuny graduate center, new york, usa', 'cuny queens college, new york, usa']
ravuri14_interspeech	['international computer science institute, berkeley, ca, usa', 'microsoft research, mountain view, ca, usa']
freeman14_interspeech	['department of linguistics', 'department of electrical engineering', 'university of washington', 'seattle, wa usa']
ghigi14_interspeech	['dpto. electricidad y electronica, universidad del pais vasco, bilbao, spain', 'language technologies institute, carnegie mellon university, pittsburgh, pennsylvania']
hotta14_interspeech	['graduate school of engineering, nagoya university, japan', 'honda research institute japan, co., ltd., japan']
hassan14_interspeech	['microsoft research']
watanabe14_interspeech	['mitsubishi electric research laboratories (merl), cambridge, ma, usa', 'information technology r&d center, mitsubishi electric, kamakura, japan']
kim14b_interspeech	['department of engineering, university of cambridge, cambridge, uk']
kane14_interspeech	['phonetics and speech laboratory,', 'school of linguistic, speech and communication sciences,', 'trinity college dublin, ireland', 'dublin institute of technology, ireland']
sak14_interspeech	['google, usa']
saon14_interspeech	['ibm t j. watson research center, yorktown heights, ny']
tomar14_interspeech	['department of electrical and computer engineering, mcgill university, montreal, qc, canada']
li14_interspeech	['school of computing, national university of singapore, singapore']
li14b_interspeech	['center for language and speech processing', 'johns hopkins university, baltimore, md']
seps14_interspeech	['faculty of mechatronics, informatics, and interdisciplinary studies,', 'technical university of liberec, studentska 2', ' 17 liberec, czech republic.']
banse14_interspeech	['national institute of standards and technology, gaithersburg, md', 'human language technology center of excellence, johns hopkins university, baltimore, md', 'mit lincoln laboratory, lexington, ma', '*guest researcher']
leeuwen14_interspeech	['netherlands forensic institute, the hague and radboud university nijmegen, the netherlands', 'agnitio research, somerset west, south africa']
novoselov14_interspeech	['department of speaker verification and identification,', 'speech technology center ltd., st. petersburg, russia', 'itmo university, russia']
shum14_interspeech	['mit computer science and artificial intelligence laboratory, cambridge, ma, usa']
brummer14_interspeech	['agnitio research, south africa']
ishihara14_interspeech	['department of linguistics, the australian national university, australia']
airaksinen14b_interspeech	['department of signal processing and acoustics, aalto university, finland', 'international audio laboratories erlangen, friedrich-alexander university (fau), germany']
rosa14_interspeech	['departamento academico de eletrotecnica', 'universidade tecnologica federal do parana', 'av. sete de setembro', ', reboucas', '-901, curitiba, parana, brazil']
takemoto14_interspeech	['national institute of information and communications technology, japan', 'faculty of intelligence and informatics, konan university, japan']
kim14c_interspeech	['signal analysis and interpretation laboratory, university of southern california, los angeles, usa', 'kanazawa medical university, kanazawa, japan']
hewer14_interspeech	['cluster of excellence multimodal computing and interaction, saarland university, germany', 'dfki language technology lab, saarbrucken, germany', 'computation linguistics & phonetics, saarland university, germany', 'saarbrucken graduate school of computer science, germany']
kaburagi14_interspeech	['kyushu university', '-9-1 shiobaru, minami-ku, fukuoka, japan']
benitez14_interspeech	['†department of linguistics, university of southern california, usa', '‡ming hsieh department of electrical engineering, university of southern california, usa']
arai14_interspeech	['department of information and communication sciences', 'sophia university, tokyo, japan']
rong14_interspeech	['mgh institute of health professions, boston, usa', 'department of speech-language pathology, university of toronto, toronto, canada', 'mda als clinic, massachusetts general hospital, boston, usa', 'als/mnd clinic, sunnybrook health sciences centre,', 'department of neurology, university of toronto, toronto, canada']
p14_interspeech	['department of electrical communication engineering, iisc, bangalore, india', 'department of electrical engineering, iisc, bangalore, india']
ji14_interspeech	['electrical and computer engineering, marquette university, milwaukee, wi, usa', 'speech pathology and audiology, marquette university, milwaukee, wi, usa']
uchida14_interspeech	['graduate school of design, kyushu university', '-9-1 shiobaru, minami-ku, fukuoka, japan', 'faculty of design, kyushu university', '-9-1 shiobaru, minami-ku, fukuoka, japan']
schuller14_interspeech	['imperial college london, department of computing, machine learning group, uk', 'tu munchen, machine intelligence & signal processing group, germany', 'fau erlangen-nurnberg, pattern recognition lab, germany', 'the university of new south wales, australia', 'national ict australia, australia']
pohjalainen14_interspeech	['department of signal processing and acoustics, aalto university, espoo, finland']
li14c_interspeech	['sysu-cmu joint institute of engineering, sun yat-sen university, guangzhou, china', 'sysu-cmu shunde international joint research institute, shunde, china']
kaya14_interspeech	['department of computer engineering, bogazici university', ', bebek, ˙istanbul, turkey', 'marmara research center, t ub˙itak', ', gebze, kocaeli, turkey']
jing14_interspeech	['research center for information technology innovation, academia sinica', 'graduate institute of communication engineering, national taiwan university', 'institute of information science, academia sinica', 'department of electrical engineering, national tsing hua university']
gosztolya14_interspeech	['mta-szte research group on artificial intelligence, szeged, hungary']
montacie14_interspeech	['stih laboratory, paris sorbonne university', ' rue serpente', ', paris, france']
nwe14_interspeech	['human language technology department, institute for infocomm research (i2r), a*star,', 'singapore 138632']
huckvale14_interspeech	['speech, hearing and phonetic sciences, university college london, london, u.k.']
kua14_interspeech	['the school of electrical engineering and telecommunications,', 'the university of new south wales, sydney nsw 2052, australia', 'national ict australia (nicta), australian technology park, eveleigh 1430, australia']
segbroeck14_interspeech	['signal analysis & interpretation laboratory, univ. of southern california, los angeles, ca', 'information sciences institute, univ. of southern california, marina del rey, ca', 'behavioral informatix, llc, los angeles, ca', 'http://sail.usc.edu,', 'www.isi.edu,', 'www.behavioralinformatix.com']
iyer14_interspeech	['air force research laboratory', ' ball aerospace; wright patterson air force base, oh']
bosch14_interspeech	['radboud university nijmegen', 'max planck institute for psycholinguistics']
andrei14_interspeech	['university “politehnica” of bucharest, romania']
li14d_interspeech	['department of linguistics and modern languages, cuhk', 'department of linguistics and modern languages, and joint research centre for language and', 'human complexity, cuhk;', 'shenzhen institutes of advanced technology, cas']
lin14_interspeech	['research center for information technology innovation, academia sinica, taipei, taiwan', 'division of speech & hearing sciences, the university of hong kong, hong kong']
lai14_interspeech	['research center for information technology innovation, academia sinica, taipei, taiwan', 'division of speech and hearing sciences, the university of hong kong, hong kong, china']
