paper_id	affiliations	author_area_id	author_area_label
sainath15_interspeech	['google, inc. new york, ny, u.s.a']	8	Speech Recognition – Signal Processing, Acoustic Modeling, Robustness, and Adaptation
bhargava15_interspeech	['department of electrical and computer engineering, mcgill university', 'google inc., new york, ny, u.s.a']		
palaz15_interspeech	['idiap research institute, martigny, switzerland', 'ecole polytechnique federale de lausanne (epfl), lausanne, switzerland', 'facebook ai research, menlo park, ca, usa']	8	Speech Recognition – Signal Processing, Acoustic Modeling, Robustness, and Adaptation
ogawa15_interspeech	['dept. of computer science, waseda university', 'toyohashi university of technology']	8	Speech Recognition – Signal Processing, Acoustic Modeling, Robustness, and Adaptation
lin15_interspeech	['research center for information technology innovation, academia sinica, taipei, taiwan', 'asus headquarters, advanced technology division, kauhsiung, taiwan']	8	Speech Recognition – Signal Processing, Acoustic Modeling, Robustness, and Adaptation
golik15_interspeech	['human language technology and pattern recognition, computer science department,', 'rwth aachen university', ' aachen, germany', 'spoken language processing group, limsi cnrs, paris, france']	8	Speech Recognition – Signal Processing, Acoustic Modeling, Robustness, and Adaptation
glavitsch15_interspeech	['empa, swiss federal laboratories for materials science and technology, switzerland', 'department of comparative linguistics, university of zurich, switzerland']	2	Phonetics, Phonology, and Prosody
windmann15_interspeech	['faculty for linguistics and literary studies, bielefeld university, germany', 'institute of behavioral sciences, university of helsinki, finland']	2	Phonetics, Phonology, and Prosody
eriksson15_interspeech	['department of linguistics, stockholm university, sweden']	2	Phonetics, Phonology, and Prosody
zahner15_interspeech	['department of linguistics, university of konstanz, germany']	2	Phonetics, Phonology, and Prosody
mixdorff15_interspeech	['department of computer science and media, beuth university berlin, germany', 'lis, university of buenos aires, argentina', 'university of bielefeld, citec, germany']	2	Phonetics, Phonology, and Prosody
simonetti15_interspeech	['the marcs institute, university of western sydney']	2	Phonetics, Phonology, and Prosody
michalsky15_interspeech	['department of german studies, university of oldenburg']	2	Phonetics, Phonology, and Prosody
reichel15_interspeech	['institute of phonetics and speech processing, university of munich', 'hungarian academy of sciences, budapest, hungary', 'constantine the philosopher university, nitra & ii sas bratislava, slovakia']	2	Phonetics, Phonology, and Prosody
sarma15_interspeech	['department of electronics and electrical engineering', 'department of humanities and social sciences', 'indian institute of technology guwahati', 'guwahati 781039, india']	2	Phonetics, Phonology, and Prosody
