paper_id	affiliations	author_area_id	author_area_label
wu19_interspeech	['center for language and speech processing,', 'human language technology center of excellence,', 'johns hopkins university, baltimore, md, usa']	13	Special Sessions
yeung19_interspeech	['dept. of electrical and computer engineering, university of california, los angeles, usa']		
gale19_interspeech	['center for spoken language understanding (cslu)', 'oregon health & science university (ohsu), portland, or']	13	Special Sessions
ribeiro19_interspeech	['the centre for speech technology research, university of edinburgh, uk']	13	Special Sessions
loukina19_interspeech	['educational testing service, usa']	13	Special Sessions
lopes19_interspeech	['nova lincs, departamento de informatica', 'faculdade de ciencias e tecnologia', 'universidade nova de lisboa', '-516 caparica, portugal']	13	Special Sessions
esposito19_interspeech	['universita degli studi della campania “luigi vanvitelli”, department of psychology and', 'international institute for advanced scientific studies (iiass), italy.', 'istituto nazionale di geofisica e vulcanologia, sez. di napoli osservatorio vesuviano, italy.']	13	Special Sessions
niebuhr19_interspeech	['centre of industrial electronics, mads clausen institute, university of southern denmark', 'institute of culture and society, aarhus university']	13	Special Sessions
cohn19_interspeech	['university of california, davis']	13	Special Sessions
lai19_interspeech	['school of informatics, university of edinburgh, edinburgh, uk', 'edinburgh futures institute, school of literatures, languages and cultures, university of', 'edinburgh, edinburgh, uk', 'computer human interaction & creativity, monash university, melbourne, australia', 'toyota motor corporation, tokyo, japan', 'toyota motor europe, brussels, belgium']	13	Special Sessions
sebastian19_interspeech	['telepathy labs gmbh, zurich, switzerland']	13	Special Sessions
rajwadi19_interspeech	['school of architecture, computing and engineering, university of east london, u.k.', 'intelligent voice ltd., london, u.k.']	13	Special Sessions
kleinlein19_interspeech	['information processing and telecommunications center, e.t.s.i. de telecomunicacion,', 'universidad politecnica de madrid', ', madrid, spain', 'department of languages and computer systems, university of granada', ', granada, spain']	13	Special Sessions
pham19_interspeech	['interactive systems lab, karlsruhe institute of technology, karlsruhe, germany', 'carnegie mellon university, pittsburgh pa, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
li19_interspeech	['nvidia, santa clara, usa', 'new york university, new york, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
moritz19_interspeech	['mitsubishi electric research laboratories (merl), cambridge, ma, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
belinkov19_interspeech	['mit computer science and artificial intelligence laboratory, cambridge, ma, usa', 'harvard john a paulson school of engineering and applied sciences, cambridge, ma, usa', 'qatar computing research institute, hbku, doha, qatar']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
tawara19_interspeech	['department of communications and computer engineering, waseda university, tokyo, japan']	6	Speech Coding and Enhancement
tesch19_interspeech	['signal processing, universitat hamburg, germany']	6	Speech Coding and Enhancement
martindonas19_interspeech	['dept. of signal theory, telematics and communications, university of granada, spain', 'department of communications engineering, paderborn university, germany']	6	Speech Coding and Enhancement
bagheri19_interspeech	['sonos inc., santa barbara, ca, usa']	6	Speech Coding and Enhancement
togami19_interspeech	['line corporation, tokyo, japan']	6	Speech Coding and Enhancement
nakatani19_interspeech	['ntt communication science laboratories, ntt corporation']	6	Speech Coding and Enhancement
snyder19_interspeech	['department of linguistics, university of california, davis']	1	Speech Perception, Production and Acquisition
illa19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore-560012, india']	1	Speech Perception, Production and Acquisition
zhang19_interspeech	['college of intelligence and computing, tianjin university, tianjin, china']	1	Speech Perception, Production and Acquisition
yoshinaga19_interspeech		1	Speech Perception, Production and Acquisition
uttam19_interspeech	[', yaman kumar ∗', ', dhruva sahrawat ∗', ', mansi aggarwal4,', 'rajiv ratn shah3, debanjan mahata5, amanda stent5', 'adobe, india', 'midas, iiit-delhi, india', 'bloomberg, usa']	1	Speech Perception, Production and Acquisition
saha19_interspeech		1	Speech Perception, Production and Acquisition
