paper_id	affiliations
makhoul16_interspeech	['bbn technologies, usa']
medennikov16_interspeech	['stc-innovations ltd, st. petersburg, russia', 'itmo university, st. petersburg, russia', 'speech technology center ltd, st. petersburg, russia']
saon16_interspeech	['ibm t j. watson research center, yorktown heights, ny']
lu16_interspeech	['centre for speech technology research, the university of edinburgh, edinburgh, uk']
yu16_interspeech	['microsoft research, microsoft corporation', 'information platform group, microsoft corporation']
pundak16_interspeech	['google inc., new york, ny, usa']
kurata16_interspeech	['ibm watson']
chen16_interspeech	['educational testing service (ets)', 'rosedale rd', 'princeton, nj', ' usa']
chong16_interspeech	['the marcs institute, western sydney university, australia']
yang16_interspeech	['signal analysis and interpretation lab (sail), university of southern california, los angeles, ca']
ganesh16_interspeech	['cnrs, gipsa-lab, f-38000 grenoble, france', 'univ. grenoble alpes, gipsa-lab, f-38000 grenoble, france']
sadoughi16_interspeech	['multimodal signal processing (msp) laboratory, department of electrical engineering', 'the university of texas at dallas, richardson tx 75080, usa']
kim16_interspeech	['the marcs institute, western sydney university, australia']
vogel16_interspeech	['university of delaware', 'university of western ontario']
jugler16_interspeech	['computational linguistics and phonetics, saarland university, germany']
ling16_interspeech	['tongji university']
ryant16_interspeech	['linguistic data consortium']
athanasopoulou16_interspeech	['university of delaware']
lai16_interspeech	['university of pennsylvania, philadelphia, united states', 'chinese academy of science, beijing, china', 'beijing normal university, beijing, china']
tsai16_interspeech	['department of electrical engineering, national tsing hua university, taiwan', 'department of emergency medicine, chang gung memorial hospital, taiwan']
lee16_interspeech	['department of electronic engineering, the chinese university of hong kong (cuhk)', 'language and communication disorder laboratory, cuhk shenzhen research institute', 'stanley ho big data decision analytics research centre, cuhk', 'department of otorhinolaryngology, head and neck surgery, cuhk']
sluis16_interspeech	['netherlands cancer institute, amsterdam, the netherlands', 'aclc, university of amsterdam, the netherlands']
gosztolya16_interspeech	['mta-szte research group on artificial intelligence, szeged, hungary', 'university of szeged, department of informatics, szeged, hungary', 'university of szeged, department of linguistics, szeged, hungary', 'research institute for linguistics, hungarian academy of sciences, budapest, hungary', 'university of szeged, department of psychiatry, szeged, hungary']
gong16_interspeech	['massachusetts institute of technology, cambridge, ma, usa', 'mgh institute of health professions, charlestown, ma, usa']
cm16_interspeech	['departmen of electronics and electrical engineering', 'indian institute of technology guwahati, guwahati-781039, india']
guan16_interspeech	"['research centre of biomedical engineering, graduate school at shenzhen, tsinghua university,', 'shenzhen, china', 'department of electrical and electronic engineering, southern university of science and', 'technology, shenzhen, china', ""shenzhen children's hospital, shenzhen, china""]"
zorila16_interspeech	['toshiba cambridge research laboratory, united kingdom', 'department of experimental psychology, university of cambridge, united kingdom', 'computer science department, university of crete, heraklion, greece']
sharma16_interspeech	['department of electronics and electrical engineering', 'indian institute of technology guwahati, guwahati-781039']
wang16_interspeech	['department of electrical and electronic engineering, southern university of science and', 'technology, shenzhen, china']
liu16_interspeech	['centre for vision, speech and signal processing, university of surrey, uk', 'acoustic research centre, university of salford, uk']
petkov16_interspeech	['toshiba research europe ltd., cambridge research laboratory, cambridge, united kingdom']
rouas16_interspeech	['labri - cnrs umr 5800']
bhavsar16_interspeech	['dhirubhai ambani institute of information and communication technology (da-iict)', 'gandhinagar-382007, india']
dumpala16_interspeech	['international institute of information technology, hyderabad, india']
toger16_interspeech	['electrical engineering, university of southern california, los angeles, ca, usa']
cernak16_interspeech	['idiap research institute, martigny, switzerland', 'ecole polytechnique federale de lausanne (epfl), switzerland']
shahin16_interspeech	['dept.of electrical and computer engineering, texas a&m university, doha, qatar', 'the school of electrical engineering and telecommunications, university of new south wales']
chen16b_interspeech	['guangdong provincial key laboratory of robotics and intelligent system, shenzhen institutes of', 'advanced technology, chinese academy of sciences, shenzhen, china', 'college of chinese language and culture, nankai university, tianjin, china', 'dept. of chinese and bilingual studies, the hong kong polytechnic university, hksar', 'dept. of linguistics and modern languages, the chinese university of hong kong, hksar']
wen16_interspeech	['institute of linguistics, chinese academy of social sciences', 'graduate school of chinese academy of social sciences', '\x02']
katayama16_interspeech	['prefectural university of hiroshima, japan']
wottawa16_interspeech	['lpp, umr 7018 cnrs - u paris 3 / sorbonne nouvelle', 'modyco, umr 7114 cnrs - universite paris ouest nanterre la defense']
luo16_interspeech	['department of electronic communication technology, shenzhen institute of information', 'technology, china,', 'school of applied foreign languages, shenzhen polytechnic, china,', 'shenzhen seaskyland technologies, china']
shinohara16_interspeech	['faculty of science and engineering, waseda university, japan']
harper16_interspeech	['department of linguistics, university of southern california, usa', 'department of electrical engineering, university of southern california, usa']
hennequin16_interspeech	['univ. grenoble alpes, gipsa-lab, f-38000 grenoble, france', 'cnrs, gipsa-lab, f-38000 grenoble, france']
ylmaz16_interspeech	['cls/clst, radboud university, nijmegen, netherlands']
laaridh16_interspeech	['university of avignon, ceri/lia, france', 'aix marseille universite, cnrs, lpl umr 7309', ', aix-en-provence, france']
bhat16_interspeech	['tcs innovation labs, mumbai']
chen16c_interspeech	"['cas key laboratory of human-machine intelligence-synergy systems, shenzhen institutes of', 'advanced technology, chinese academy of sciences, shenzhen, china', 'shenzhen aixin zhihui rehabilitation centre for special children, shenzhen, china', ""department of speech therapy, shenzhen children's hospital, shenzhen, china"", 'dept. of chinese and bilingual studies, the hong kong polytechnic university, hksar', 'dept. of linguistics and modern languages, the chinese university of hong kong, hksar']"
nagle16_interspeech	['department of speech-language pathology, seton hall university, u.s.a.', 'center for laryngeal surgery & voice rehabilitation, massachusetts general hospital, u.s.a.']
najnin16_interspeech	['institute for intelligent systems,', 'department of electrical & computer engineering,', 'school of communication sciences and disorders', 'the university of memphis, memphis, tn 38152, usa']
rong16_interspeech	['mgh institute of health professions, boston, usa', 'department of speech-language pathology, university of toronto, toronto, canada']
delvaux16_interspeech	['institut de recherche en sciences et technologies du langage, umons, belgium', 'fnrs, belgium']
feng16_interspeech	"[""shenzhen children's hospital, shenzhen, china""]"
zhu16_interspeech	['school of information science, japan advanced institute of science and technology, japan', 'school of humanities, kanazawa university, japan']
ochi16_interspeech	['national institute of informatics, tokyo, japan', 'research institute, national rehabilitation center for persons with disabilities, tokorozawa, japan', 'sokendai (the graduate university for advanced studies), hayama, japan']
shao16_interspeech	['department of chinese and bilingual studies, the hong kong polytechnic university', 'shenzhen institutes of advanced technology, chinese academy of sciences', 'department of linguistics and modern languages, the chinese university of hong kong']
takashima16_interspeech	['graduate school of system informatics, kobe university, japan', 'hyogo institute of assistive technology, kobe, japan']
gu16_interspeech	['institute for infocomm research, singapore']
xie16_interspeech	['harbin institute of technology, harbin, china', 'microsoft research asia, beijing, china']
aihara16_interspeech	['graduate school of system informatics, kobe university', '-1, rokkodai, nada, kobe, japan']
gu16b_interspeech	['national engineering laboratory for speech and language information processing', 'university of science and technology of china, hefei, p.r.china']
yang16b_interspeech	['the university of tokyo, japan']
hosaka16_interspeech	['department of scientific and engineering simulation,', 'nagoya institute of technology, nagoya, japan']
aryal16_interspeech	['department of computer science and engineering, texas a&m university']
sarfjoo16_interspeech	['electrical and computer engineering department', 'ozyegin university, istanbul, turkey']
sun16_interspeech	['department of systems engineering and engineering management', 'the chinese university of hong kong, hong kong sar, china']
prakash16_interspeech	['dept of applied mechanics, indian institute of technology madras, india', 'dept of computer science & engineering, indian institute of technology madras, india']
zhang16_interspeech	['tsinghua university, beijing, p.r.china', 'bmw group technology office china, shanghai, p.r.china']
