paper_id	affiliations	author_area_id	author_area_label
pucher21_interspeech	['acoustics research institute (ari), austrian academy of sciences ( ¨oaw), vienna, austria', 'university of applied sciences wiener neustadt, wiener neustadt, austria']	7	Speech Synthesis and Spoken Language Generation
rezackova21_interspeech	['new technologies for the information society and department of cybernetics,', 'faculty of applied sciences, university of west bohemia, pilsen, czech republic']		
perrotin21_interspeech	['univ. grenoble alpes, cnrs, grenoble inp, gipsa-lab, f-38000 grenoble, france']	7	Speech Synthesis and Spoken Language Generation
do21_interspeech	['university of groningen, campus fryslˆan, leeuwarden, the netherlands', 'fryske akademy/mercator research centre, leeuwarden, the netherlands', 'readspeaker, driebergen-rijsenburg, the netherlands']	7	Speech Synthesis and Spoken Language Generation
talkar21_interspeech	['speech and hearing bioscience and technology, harvard university, boston, ma, usa', 'mit lincoln laboratory, lexington, ma, usa', 'walter reed national military medical center, bethesda, md, usa', 'uniformed services university of the health sciences, bethesda, md, usa', 'henry m jackson foundation, rockville, md, usa', 'traumatic brain injury center of excellence, silver spring, md, usa', 'national intrepid center of excellence, bethesda, md, usa', 'centre of excellence on post-traumatic stress disorder, ottawa, on, canada', 'general dynamics information technology, falls church, va, usa', 'university of british columbia, vancouver, bc, canada']	13	Speech, Voice, and Hearing Disorders
vasquezcorrea21_interspeech	['pattern recognition lab. friedrich-alexander universitat, erlangen-nurnberg, germany', 'faculty of engineering. universidad de antioquia udea, calle 70 no. 52-21, medellin, colombia', 'idiap research institute, martigny, switzerland', 'ecole polytechnique federale de lausanne, switzerland']	13	Speech, Voice, and Hearing Disorders
daoudi21_interspeech	['inria bordeaux sud-ouest, geostat team, france', 'ent department, university hospital of bordeaux, france', 'department of neurology for neurodegenerative diseases, university hospital of bordeaux', 'and university of bordeaux, cnrs, imn, umr 5293, france', 'msa reference center, clinical investigation center cic1436,', 'dep. neurosciences & clinical pharmacology, university hospital of toulouse, france', 'voice and deglutition unit , ent department, university hospital of toulouse, france.']	13	Speech, Voice, and Hearing Disorders
wang21_interspeech	['department of electrical engineering-esat, ku leuven, belgium', 'school of mathematics, statistics and computer science, college of science, university of tehran,', 'iran']	13	Speech, Voice, and Hearing Disorders
turrisi21_interspeech	"['italian institute of technology, italy', 'university of ferrara, italy', 'dibris, university of genoa, italy', ""neurology unit, azienda ospedaliera universitaria sant'anna, ferrara, italy"", 'pervoice, italy']"	13	Speech, Voice, and Hearing Disorders
bie21_interspeech	['inria, univ. grenoble alpes, cnrs, ljk', ' grenoble, france.', 'univ. grenoble alpes, cnrs, grenoble-inp, gipsa-lab', ' grenoble, france.', 'centralesupelec, ietr', ' cesson-sevigne, france.']	5	Analysis of Speech and Audio Signals
yurt21_interspeech	['fraunhofer iis, erlangen, germany', 'ws audiology, erlangen, germany', 'chair of multimedia communications and signal processing, friedrich-alexander-universitat', 'erlangen-nurnberg, erlangen, germany']	5	Analysis of Speech and Audio Signals
prasad21_interspeech	['idiap research institute, martigny ch-1920, switzerland']	5	Analysis of Speech and Audio Signals
teytaut21_interspeech	['stms lab, umr 9912 (ircam, cnrs, sorbonne university), paris, france']	5	Analysis of Speech and Audio Signals
kim21_interspeech	['school of mechanical engineering, korea advanced institute of science and technology']	4	Speaker and Language Identification
qi21_interspeech	['national engineering laboratory for speech and language information processing,', 'university of science and technology of china, hefei, china']	4	Speaker and Language Identification
zhang21_interspeech	['national sun yat-sen university, taiwan', 'chunghwa telecom laboratories, taiwan']	4	Speaker and Language Identification
wu21_interspeech	['college of artificial intelligence, nankai university, tianjin, china', 'college of computer science, nankai university, tianjin, china']	4	Speaker and Language Identification
zhu21_interspeech	['data science research center, duke kunshan university, kunshan, china', 'school of computer science, wuhan university, wuhan, china']	4	Speaker and Language Identification
tu21_interspeech	['department of electronic and information engineering, the hong kong polytechnic university,', 'hong kong sar, china']	4	Speaker and Language Identification
zhu21b_interspeech	['university of rochester, rochester, ny, usa', 'beijing institute of technology, beijing, china']	4	Speaker and Language Identification
liu21_interspeech	['school of electronic science and engineering, xiamen university, china', 'school of informatics, xiamen university, china']	4	Speaker and Language Identification
